index,Formula,sim_cell,PBE_LC,PBE_bgType,PBE_bg_eV,PBE_dbg_eV,PBE_FormE_eV,PBE_DecoE_eV,dielc,PV_FOM,SLME_5um,SLME_100um,HSE_LC,HSE_bgType,HSE_bg_eV,HSE_dbg_eV,HSE_FormE_eV,HSE_DecoE_eV
86,KSnCl3,2x2x2,5.56626,Direct,0.878,0.8786,-6.81705,2.60595,6.4651,5.34319,0.149217,0.273268,5.63424,Direct,1.7196,1.7196,-6.89969,2.70031
87,KPbI3,2x2x2,6.36597,Direct,1.448,1.4489,-4.55466,2.94634,6.377,5.47752,0.217825,0.321096,6.42793,Direct,2.1357,2.1357,-5.07644,2.98356
88,KPbBr3,2x2x2,5.96483,Direct,1.742,1.7427,-6.0818,0.2812,4.8474,5.24887,0.155868,0.278718,6.01285,Direct,2.5477,2.5477,-6.63209,0.307915
89,KPbCl3,2x2x2,5.69246,Direct,2.175,2.1752,-7.17524,2.71876,3.9325,5.00076,0.0946034,0.189364,5.72864,Direct,3.0528,3.0528,-7.4757,2.7743
90,K0.125FA0.875SnBr3,2x2x2,6.17952,Direct,1.596,1.5969,-6.17463,-0.830502,4.6467,5.18181,0.186552,0.300664,,,,,,
91,K0.125FA0.875SnCl3,2x2x2,6.10372,Indirect,3.138,3.2086,-7.1448,-0.625928,3.16133,4.52573,0.0134506,0.0267074,,,,,,
92,K0.375Rb0.25FA0.375GeI3,2x2x2,6.23201,Direct,1.425,1.4254,-4.02931,1.37956,5.65297,5.31812,0.186369,0.324657,,,,,,
93,Rb0.375Cs0.125FA0.5BaI3,2x2x2,6.81307,Direct,3.388,3.3893,-8.33603,0.740091,3.2365,4.04621,0.00405187,0.0174789,,,,,,
94,K0.25Cs0.125FA0.625BaI3,2x2x2,6.80997,Indirect,3.343,3.3536,-8.33045,0.456425,3.25703,4.06709,0.00446762,0.0195466,,,,,,
95,K0.375Rb0.125FA0.5SrI3,2x2x2,6.52886,Indirect,3.452,3.4557,-8.09392,1.05545,3.3599,3.98592,0.00331769,0.0144509,,,,,,
96,Rb0.375Cs0.125FA0.5SrI3,2x2x2,6.53586,Indirect,3.393,3.4017,-8.16295,0.649177,3.39073,3.99616,0.00365163,0.0167143,,,,,,
97,K0.25Cs0.125FA0.625SrI3,2x2x2,6.54625,Indirect,3.372,3.3884,-8.14626,0.37662,3.3999,4.01823,0.0040042,0.0173866,,,,,,
98,K0.5Rb0.125FA0.375SrBr3,2x2x2,6.06886,Direct,4.124,4.1246,-9.90161,-0.13411,2.9299,3.46727,2.70724e-07,1.88085e-06,5.93784,Direct,5.5074,5.5074,-10.9082,-0.216985
99,K0.375Rb0.125Cs0.125FA0.375CaI3,2x2x2,6.2602,Direct,3.438,3.4387,-7.82382,1.18918,3.6712,4.17873,0.00384128,0.0152906,6.15651,Direct,4.9464,4.9464,-8.77679,1.06696
100,K0.625FA0.375CaI3,2x2x2,6.27602,Indirect,3.422,3.435,-7.70876,1.61837,3.63023,4.21027,0.0041051,0.015227,,,,,,
101,Rb0.375FA0.625CaI3,2x2x2,6.31385,Indirect,3.372,3.3929,-7.83862,0.701877,3.69683,4.26314,0.00486862,0.0170983,6.23283,Direct,4.8401,4.8401,-8.83261,0.544889
102,MA0.875FA0.125CaBr3,2x2x2,5.88188,Direct,4.302,4.3023,-9.78687,-0.146747,3.1957,3.4434,0.0,0.0,5.84228,Direct,5.6366,5.6366,-10.7967,-0.195484
103,MA0.625FA0.375CaBr3,2x2x2,6.00267,Indirect,4.072,4.0729,-9.70154,-0.231165,3.08627,3.49822,2.5253e-06,1.69879e-05,5.98191,Direct,5.5035,5.5035,-10.6903,-0.266515
104,MA0.5FA0.5CaCl3,2x2x2,5.74052,Indirect,4.306,4.3088,-11.0282,-0.316738,2.82777,3.23542,0.0,0.0,,,,,,
105,MA0.875FA0.125PbCl3,2x2x2,5.80425,Direct,2.5,2.5008,-7.53774,-0.219863,3.87183,4.85461,0.0574581,0.124011,,,,,,
106,K0.125Rb0.25Cs0.625PbCl3,2x2x2,5.71864,Direct,2.2,2.2004,-7.4966,1.29615,3.98673,4.92748,0.082531,0.183827,,,,,,
107,K0.75Rb0.125Cs0.125PbCl3,2x2x2,5.69688,Direct,2.182,2.182,-7.2111,2.27627,3.92163,4.9376,0.0860011,0.187815,,,,,,
108,Rb0.875Cs0.125PbCl3,2x2x2,5.70798,Direct,2.193,2.1936,-7.38721,0.236416,3.9457,4.93337,0.0840204,0.185339,,,,,,
109,K0.25Rb0.375Cs0.375SnI3,2x2x2,6.25558,Direct,0.423,0.423,-4.55328,1.47435,5.4193,5.3691,0.0781345,0.0947768,,,,,,
110,K0.125Rb0.375Cs0.5SnI3,2x2x2,6.26075,Direct,0.433,0.433,-4.62005,1.11658,11.9085,5.51227,0.0749703,0.100066,,,,,,
111,K0.125Rb0.25Cs0.625SnI3,2x2x2,6.25925,Direct,0.667,0.667,-4.7133,0.755451,8.36893,5.48072,0.143302,0.208984,,,,,,
112,Rb0.75Cs0.25SnI3,2x2x2,6.26293,Direct,0.445,0.445,-4.57576,1.67349,11.6056,5.51217,0.0790025,0.106127,,,,,,
113,K0.375Rb0.25Cs0.375SnBr3,2x2x2,5.86151,Direct,0.583,0.583,-6.00098,-0.0544776,8.13293,5.39482,0.104727,0.170567,5.96537,Direct,1.4415,1.4415,-6.30432,0.0356838
114,K0.125Rb0.875SnBr3,2x2x2,5.85555,Direct,0.571,0.571,-5.95471,-0.0295841,8.2656,5.39656,0.102288,0.166051,,,,,,
115,K0.25Rb0.375Cs0.375SnCl3,2x2x2,5.59457,Direct,0.94,0.94,-7.08319,1.11993,5.6059,5.27841,0.156128,0.298968,,,,,,
116,K0.25Rb0.125Cs0.625GeI3,2x2x2,5.98244,Direct,0.609,0.609,-4.0551,0.997771,11.9539,5.60757,0.139659,0.180455,,,,,,
117,Rb0.125Cs0.875GeI3,2x2x2,5.99075,Direct,0.625,0.625,-4.16923,0.301641,11.768,5.60524,0.14525,0.187586,,,,,,
118,K0.375Rb0.375Cs0.25GeBr3,2x2x2,5.56567,Direct,0.661,0.661,-5.42128,-0.102152,8.96153,5.48682,0.13196,0.205222,,,,,,
119,K0.25Rb0.375Cs0.375PbI3,2x2x2,6.3755,Direct,1.462,1.462,-4.83233,1.72629,6.0897,5.4391,0.20588,0.320029,,,,,,
121,K0.625Rb0.25Cs0.125GeCl3,2x2x2,5.27767,Direct,0.919,0.9198,-6.43317,1.55358,6.49047,5.33971,0.158905,0.292588,,,,,,
122,K0.625Rb0.125Cs0.25GeCl3,2x2x2,5.28333,Direct,0.938,0.9389,-6.45513,1.74625,6.4317,5.33628,0.162139,0.298146,,,,,,
123,K0.625Cs0.375GeCl3,2x2x2,5.28919,Direct,0.958,0.9582,-6.47764,1.93836,6.38553,5.33362,0.16338,0.30167,,,,,,
124,K0.75Rb0.25GeCl3,2x2x2,5.26792,Direct,0.892,0.8923,-6.39223,1.69052,6.57713,5.34403,0.153917,0.280004,,,,,,
125,K0.625Rb0.375BaI3,2x2x2,6.78956,Direct,3.121,3.1218,-7.7684,3.03322,3.1673,4.20503,0.00823522,0.0326161,,,,,,
126,K0.125Cs0.875BaI3,2x2x2,6.80397,Direct,3.409,3.4098,-8.20283,0.631165,3.2258,4.07592,0.00389223,0.0165342,6.80397,Direct,4.3647,4.3647,-9.07911,0.684639
127,K0.375Rb0.375Cs0.25PbBr3,2x2x2,5.977,Direct,1.76,1.76,-6.26209,0.127037,4.7387,5.20408,0.144198,0.275348,,,,,,
128,Rb0.75Cs0.25BaBr3,2x2x2,6.35108,Direct,3.765,3.765,-9.78798,0.476771,2.8172,3.64671,0.000460785,0.00352556,6.34505,Direct,4.8959,4.8959,-10.6886,0.5289
129,K0.25Rb0.375Cs0.375BaCl3,2x2x2,6.04746,Direct,4.363,4.363,-11.0366,1.83755,2.5839,3.20701,0.0,0.0,6.04746,Direct,5.6281,5.6281,-11.6764,1.90856
130,K0.125Rb0.375Cs0.5BaCl3,2x2x2,6.05044,Direct,4.426,4.426,-11.1092,1.6689,2.6005,3.1941,0.0,0.0,,,,,,
131,K0.625Rb0.125Cs0.25BaCl3,2x2x2,6.04199,Direct,4.26,4.26,-10.8995,2.69188,2.55787,3.23896,0.0,0.0,,,,,,
132,K0.75Cs0.25BaCl3,2x2x2,6.04074,Direct,4.242,4.242,-10.8673,3.03471,2.5532,3.24907,0.0,0.0,,,,,,
133,K0.5Rb0.25Cs0.25SrI3,2x2x2,6.4804,Direct,3.272,3.272,-7.87695,2.1018,2.19047,3.84742,0.00299536,0.0241218,,,,,,
134,K0.375Cs0.625SrI3,2x2x2,6.48869,Direct,3.389,3.389,-8.0312,1.1208,3.37327,4.00518,0.00351809,0.0174851,6.47177,Direct,4.3675,4.3675,-8.87345,1.1378
135,K0.5Rb0.25Cs0.25SrBr3,2x2x2,6.01242,Direct,3.835,3.835,-9.77949,0.253762,2.92853,3.55648,0.000193008,0.00184949,,,,,,
136,K0.375Rb0.625SrBr3,2x2x2,6.00815,Direct,3.801,3.8015,-9.73532,0.28306,2.9096,3.57929,0.000272873,0.0025767,,,,,,
137,K0.75Rb0.125Cs0.125SrBr3,2x2x2,6.00574,Direct,3.771,3.7713,-9.68192,0.339203,2.9093,3.60359,0.000361654,0.00335422,,,,,,
138,K0.75Rb0.25SrBr3,2x2x2,6.0027,Direct,3.744,3.7442,-9.64523,0.367518,2.8977,3.61983,0.000450949,0.00424225,5.98678,Direct,4.8975,4.8975,-10.5229,0.384553
139,K0.25Rb0.75SrBr3,2x2x2,6.00999,Direct,3.821,3.8218,-9.76536,0.254893,2.91357,3.56239,0.000214644,0.00206152,,,,,,
140,K0.75Cs0.25SrCl3,2x2x2,5.70092,Direct,4.531,4.5319,-11.117,2.57103,2.6478,3.14754,0.0,0.0,5.70092,Direct,5.8194,5.8194,-11.7393,2.61823
141,K0.375Rb0.375Cs0.25CaI3,2x2x2,6.20946,Direct,3.421,3.4212,-7.73804,2.01358,3.66543,4.14878,0.00353122,0.0158757,,,,,,
142,K0.375Cs0.625CaI3,2x2x2,6.22053,Direct,3.518,3.5189,-7.84863,1.09937,3.69257,4.1306,0.00273146,0.0118872,6.22053,Direct,4.4918,4.4918,-8.65609,1.09516
143,Rb0.125Cs0.875CaBr3,2x2x2,5.787,Direct,4.307,4.307,-9.96572,-0.197096,3.2295,3.42778,0.0,0.0,5.75683,Direct,5.5223,5.5223,-10.8308,-0.219544
144,K0.25Rb0.375Cs0.375CaCl3,2x2x2,5.44954,Direct,4.995,4.995,-11.2647,1.12143,2.86767,3.15566,0.0,0.0,,,,,,
145,K0.25Rb0.25Cs0.5CaCl3,2x2x2,5.45518,Direct,5.033,5.033,-11.2916,1.30914,2.8831,3.15632,0.0,0.0,,,,,,
146,K0.125Rb0.5Cs0.375CaCl3,2x2x2,5.45291,Direct,5.021,5.021,-11.2883,0.787239,2.87323,3.15437,0.0,0.0,5.42976,Direct,6.3791,6.3791,-11.9055,0.795752
147,K0.375Rb0.125Cs0.5CaCl3,2x2x2,5.45472,Direct,5.002,5.002,-11.2671,1.64431,2.87537,3.15851,0.0,0.0,5.42738,Direct,6.3673,6.3673,-11.8881,1.66313
148,Rb0.625Cs0.375CaCl3,2x2x2,5.45578,Direct,5.057,5.0577,-11.314,0.450911,2.87903,3.15261,0.0,0.0,5.44058,Direct,6.4012,6.4012,-11.9281,0.459384
149,K0.25Rb0.25Cs0.125MA0.375PbI3,2x2x2,6.37098,Direct,1.734,1.7347,-4.97998,1.28377,5.57907,5.39127,0.17363,0.280212,6.48836,Indirect,2.9354,3.0962,-5.5154,1.4846
150,K0.625MA0.375PbCl3,2x2x2,5.71825,Direct,2.643,2.6433,-7.42244,1.54531,3.7597,4.81241,0.0459381,0.0982387,,,,,,
151,K0.125Rb0.125MA0.75PbCl3,2x2x2,5.78844,Direct,2.616,2.6165,-7.5091,0.22177,3.77443,4.8238,0.0485742,0.102247,,,,,,
